"id","name","country_id","created_at","updated_at","status"
"1","JAMMU & KASHMIR","101","2021-03-30 01:10:26","2021-05-16 18:57:06","0"
"2","HIMACHAL PRADESH","101","2021-03-30 01:10:26","2021-05-16 18:57:06","0"
"3","PUNJAB","101","2021-03-30 01:10:26","2022-05-30 23:08:25","0"
"4","CHANDIGARH","101","2021-03-30 01:10:26","2021-05-16 18:57:06","0"
"5","UTTARAKHAND","101","2021-03-30 01:10:26","2022-05-30 23:08:25","0"
"6","HARYANA","101","2021-03-30 01:10:26","2021-05-16 18:57:06","0"
"7","NCT OF DELHI","101","2021-03-30 01:10:26","2021-05-16 18:57:06","0"
"8","RAJASTHAN","101","2021-03-30 01:10:26","2021-03-30 01:10:26","1"
"9","UTTAR PRADESH","101","2021-03-30 01:10:26","2022-05-30 23:08:25","0"
"10","BIHAR","101","2021-03-30 01:10:26","2021-05-16 18:57:06","0"
"11","SIKKIM","101","2021-03-30 01:10:26","2021-05-16 18:57:06","0"
"12","ARUNACHAL PRADESH","101","2021-03-30 01:10:26","2021-05-16 18:57:06","0"
"13","NAGALAND","101","2021-03-30 01:10:26","2021-05-16 18:57:06","0"
"14","MANIPUR","101","2021-03-30 01:10:26","2021-05-16 18:57:06","0"
"15","MIZORAM","101","2021-03-30 01:10:26","2021-05-16 18:57:06","0"
"16","TRIPURA","101","2021-03-30 01:10:26","2021-05-16 18:57:06","0"
"17","MEGHALAYA","101","2021-03-30 01:10:26","2021-05-16 18:57:06","0"
"18","ASSAM","101","2021-03-30 01:10:26","2022-05-30 23:08:25","0"
"19","WEST BENGAL","101","2021-03-30 01:10:26","2022-05-30 23:08:25","0"
"20","JHARKHAND","101","2021-03-30 01:10:26","2021-05-16 18:57:06","0"
"21","ODISHA","101","2021-03-30 01:10:26","2021-05-16 18:57:06","0"
"22","CHHATTISGARH","101","2021-03-30 01:10:26","2022-05-30 23:08:25","0"
"23","MADHYA PRADESH","101","2021-03-30 01:10:26","2022-05-30 23:08:25","0"
"24","GUJARAT","101","2021-03-30 01:10:26","2022-05-30 23:08:25","0"
"25","DAMAN & DIU","101","2021-03-30 01:10:26","2021-05-16 18:57:06","0"
"26","DADRA & NAGAR HAVELI","101","2021-03-30 01:10:26","2021-05-16 18:57:06","0"
"27","MAHARASHTRA","101","2021-03-30 01:10:26","2021-05-16 18:57:06","0"
"28","ANDHRA PRADESH","101","2021-03-30 01:10:26","2021-05-16 18:57:06","0"
"29","KARNATAKA","101","2021-03-30 01:10:26","2021-05-16 18:57:06","0"
"30","GOA","101","2021-03-30 01:10:26","2021-05-16 18:57:06","0"
"31","LAKSHADWEEP","101","2021-03-30 01:10:26","2021-05-16 18:57:06","0"
"32","KERALA","101","2021-03-30 01:10:26","2021-05-16 18:57:06","0"
"33","TAMIL NADU","101","2021-03-30 01:10:26","2021-05-16 18:57:06","0"
"34","PUDUCHERRY","101","2021-03-30 01:10:26","2021-05-16 18:57:06","0"
"35","ANDAMAN & NICOBAR ISLANDS","101","2021-03-30 01:10:26","2021-05-16 18:57:06","0"
